,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
22,0.021784,0.01794,0.012816,0.003844,0.0,0.006406,0.007687,0.014097,0.016658,0.017939
23,0.024347,0.019221,0.012816,0.005125,0.001281,0.006406,0.005124,0.012816,0.016658,0.017939
24,0.024347,0.019221,0.012816,0.005125,0.0,0.005124,0.006406,0.012816,0.016658,0.01922
25,0.024347,0.01794,0.012816,0.003844,0.0,0.005124,0.005124,0.012816,0.016658,0.01922
26,0.023065,0.020503,0.011534,0.003844,0.0,0.006406,0.005124,0.014097,0.01794,0.01922
27,0.021784,0.01794,0.012816,0.001281,0.0,0.005124,0.003843,0.011534,0.015377,0.017939
28,0.021784,0.019221,0.011534,0.002563,0.0,0.005124,0.005124,0.010253,0.01794,0.017939
29,0.025628,0.020503,0.011534,0.001281,0.0,0.006406,0.003843,0.010253,0.016658,0.020501
30,0.024347,0.01794,0.010253,0.001281,0.0,0.005124,0.003843,0.008971,0.01794,0.01922
31,0.023065,0.019221,0.008971,0.003844,0.0,0.002562,0.002562,0.008971,0.016658,0.01922
32,0.021784,0.01794,0.008971,0.001281,0.0,0.002562,0.001281,0.010253,0.01794,0.017939
33,0.021784,0.019221,0.008971,0.0,0.0,0.002562,0.003843,0.008971,0.016658,0.017939
34,0.021784,0.01794,0.007689,0.001281,0.0,0.002562,0.0,0.007689,0.01794,0.01922
35,0.023065,0.01794,0.006408,0.0,0.0,0.002562,0.0,0.006408,0.016658,0.01922
36,0.024347,0.020503,0.006408,0.0,0.0,0.003843,0.002562,0.008971,0.01794,0.016657
37,0.024347,0.01794,0.007689,0.001281,0.0,0.003843,0.001281,0.008971,0.016658,0.017939
38,0.024347,0.019221,0.006408,0.0,0.0,0.002562,0.001281,0.007689,0.01794,0.017939
39,0.023065,0.01794,0.006408,0.0,0.0,0.002562,0.001281,0.005126,0.015377,0.016657
40,0.023065,0.020503,0.006408,0.0,0.0,0.003843,0.001281,0.006408,0.01794,0.01922
41,0.023065,0.019221,0.005126,0.0,0.0,0.001281,0.0,0.006408,0.01794,0.01922
42,0.023065,0.01794,0.006408,0.0,0.0,0.001281,0.001281,0.006408,0.01794,0.01922
43,0.024347,0.019221,0.006408,0.0,0.0,0.001281,0.0,0.006408,0.01794,0.017939
44,0.024347,0.01794,0.003845,0.0,0.0,0.001281,0.001281,0.006408,0.016658,0.017939
45,0.021784,0.019221,0.006408,0.0,0.0,0.001281,0.001281,0.005126,0.01794,0.01922
46,0.021784,0.019221,0.006408,0.0,0.0,0.002562,0.0,0.003845,0.015377,0.01922
47,0.024347,0.01794,0.005126,0.0,0.0,0.002562,0.001281,0.006408,0.01794,0.01922
48,0.024347,0.019221,0.005126,0.0,0.0,0.002562,0.001281,0.006408,0.016658,0.017939
49,0.024347,0.01794,0.005126,0.0,0.0,0.002562,0.0,0.005126,0.01794,0.016657
50,0.021784,0.019221,0.005126,0.0,0.0,0.002562,0.001281,0.003845,0.016658,0.01922
51,0.023065,0.020503,0.005126,0.0,0.0,0.002562,0.0,0.005126,0.01794,0.01922
52,0.021784,0.01794,0.003845,0.0,0.0,0.0,0.001281,0.003845,0.016658,0.01922
53,0.023065,0.01794,0.003845,0.0,0.0,0.001281,0.0,0.005126,0.016658,0.01922
54,0.024347,0.01794,0.002563,0.0,0.0,0.0,0.0,0.005126,0.016658,0.017939
55,0.024347,0.019221,0.002563,0.0,0.0,0.0,0.001281,0.005126,0.01794,0.01922
56,0.023065,0.019221,0.002563,0.0,0.0,0.001281,0.001281,0.002563,0.016658,0.01922
57,0.021784,0.01794,0.002563,0.0,0.0,0.001281,0.0,0.002563,0.01794,0.01922
58,0.021784,0.019221,0.002563,0.0,0.0,0.001281,0.0,0.003845,0.015377,0.017939
59,0.023065,0.01794,0.002563,0.0,0.0,0.001281,0.001281,0.005126,0.01794,0.017939
60,0.023065,0.019221,0.003845,0.0,0.0,0.001281,0.0,0.003845,0.01794,0.016657
61,0.023065,0.019221,0.005126,0.0,0.0,0.001281,0.0,0.003845,0.015377,0.01922
62,0.025628,0.01794,0.005126,0.0,0.0,0.0,0.0,0.003845,0.01794,0.020501
63,0.023065,0.019221,0.003845,0.0,0.0,0.0,0.0,0.002563,0.015377,0.01922
64,0.023065,0.01794,0.002563,0.0,0.0,0.0,0.0,0.005126,0.016658,0.01922
65,0.024347,0.016658,0.003845,0.0,0.0,0.0,0.0,0.005126,0.016658,0.017939
66,0.024347,0.019221,0.003845,0.0,0.0,0.0,0.0,0.003845,0.01794,0.01922
67,0.024347,0.016658,0.003845,0.0,0.0,0.001281,0.0,0.002563,0.015377,0.01922
68,0.021784,0.019221,0.001282,0.0,0.0,0.001281,0.0,0.002563,0.01794,0.017939
69,0.021784,0.01794,0.001282,0.0,0.0,0.001281,0.0,0.002563,0.016658,0.017939
70,0.023065,0.019221,0.003845,0.0,0.0,0.002562,0.001281,0.006408,0.01794,0.01922
71,0.024347,0.019221,0.001282,0.0,0.0,0.0,0.0,0.003845,0.015377,0.01922
72,0.024347,0.016658,0.001282,0.0,0.0,0.0,0.0,0.003845,0.01794,0.01922
